,marca,preco
45,Cadeira Gamer Vermelha Prizi - Jx-1039r,"R$ 443,33"
46,"Cadeira Gamer Corsair TC200 Fabric, Até 120Kg, Apoio de Braços 4D, Almofadas, Reclinável, Cilindro de Gás Classe 4, Preto - CF-9010049-WW","R$ 1.479,90"
47,"Cadeira Gamer ThunderX3 TGC12, Até 120kg, Com Almofadas, Descanso de Braço 2D, Preto e Azul","R$ 939,90"
48,"Cadeira Gamer Fox Racer Nordic, Peso Max 125KG, RGB, Encostos Ajustável, Preto","R$ 999,00"
49,"Cadeira Gamer XT Racer Viking Series, Até 120kg, Com Almofadas e Apoio de Pés, Reclinável, Descanso de Braço 3D, Preto e Vermelho - XTR-026","R$ 949,90"
50,"Cadeira Gamer Prizi Runner, 180Kg, Giratória, Azul","R$ 294,90"
51,"Cadeira Gamer Mymax Mx5, Suportado até 150Kg, Giratória, Preto e Branco","R$ 699,00"
52,"Cadeira Gamer Husky Gaming Snow, Preto e Azul, Cilindro de Gás Classe 4, Base em Metal, Roda em Nylon - HSN-BB","R$ 599,99"
53,"Cadeira Gamer Corsair T3 Rush 2023, Até 120Kg, Com Almofadas, Reclinável, Apoio de Braços 4D, Cinza e Branco - CF-9010058-WW","R$ 1.289,90"
54,"Cadeira Gamer XT Racer Speed Series, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto - XTS150","R$ 829,99"
55,"Cadeira Gamer Pelegrin, Até 150 Kg, Em Couro Pu, Reclinável, Preta e Verde - PEL-3019","R$ 519,00"
56,"Cadeira Gamer XT Racer Platinum W Series, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 3D, Off White - XTR-068","R$ 1.299,90"
57,"Cadeira Gamer Mymax MX7, Suporta Até 150kg, Giratória, Preto E Vermelho","R$ 699,00"
58,"Cadeira Gamer XT Racer Draco, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 4D, Preto - XTR-064","R$ 1.399,99"
59,"Cadeira Gamer Mymax MX5, Até 150 Kg, Giratória, Branco e Roxo","R$ 699,00"
60,"Cadeira Gamer Rise Mode Z5, Ângulo Ajustável, Braço 4D, Cinza Claro, Tecido - RM-CG-Z05-GR-FBC","R$ 999,99"
61,"Cadeira Gamer KBM! GAMING CG300, Preto, Com Almofadas, Reclinável, Descanso de Braço 2D - KGCG300PT","R$ 629,90"
62,"Cadeira Gamer Mymax MX5, Até 150kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Preto e Vermelho - MGCH-MX5/RD","R$ 659,99"
63,"Cadeira Gamer DT3 Mizano Fabric, Até 110 kg, Com Almofadas, Apoio de Braço 3D+, Reclinável, Preto - 13796-6","R$ 1.099,99"
64,Cadeira Noblechairs Hero Gaming Chair Java Edition - NBL-HRO-PU-JED,"R$ 2.999,99"
65,"Cadeira Gamer ThunderX3 TGC12 Profissional, Até 120kg, Com Almofadas, Reclinável, Descanso de Braço 2D, Branco e Preto - 78202","R$ 979,99"
66,"Cadeira Gamer DT3 Nero Elite Syrah, Até 160 Kg, Com Almofada, Reclinável, Descanso de Braço 4D, Preto e Vinho - 13543-6","R$ 2.239,90"
67,"Cadeira Gamer Draxen DN2, 150 kg, Altura Ajustáveis, Reclinação, com almofadas, Preto","R$ 615,12"
68,"Cadeira Gamer Prizi Canvas, Azul","R$ 443,33"
69,"Cadeira Gamer Fox Vulpes, Com Ajuste, Reclinável, Com Almofadas, Até 110kg, Preto","R$ 479,59"
70,"Cadeira Gamer DT3 Nero XL, Até 160Kg, Com Almofada, Descanso de Braço 4D, Graphite - 13639-2","R$ 1.489,99"
71,"Cadeira Gamer Alpha Gamer Zeta Preto, Reclinável, com Almofadas, Cilindro de Gás Classe 4 - AGZETA-BK","R$ 699,90"
72,"Cadeira Gamer Elements Magna, até 150 kg, Ergonômica, De Tecido, Preto","R$ 1.999,20"
73,"Cadeira Gamer Rise Mode Z5, Ângulo Ajustável, Braço 4D, Preto, Tecido - RM-CG-Z05-BK-FBC","R$ 969,90"
74,"Cadeira Gamer DT3 Elise Fabric, Até 130 Kg, Com Almofadas, Reclinável, Descanso de Braço 1D, Preto - 13443-5","R$ 1.039,99"
75,"Cadeira Gamer ThunderX3 EC3, Até 120 kg,  Preto - 67998","R$ 939,99"
76,"Cadeira Gamer Fox Racer RGB, Até 130Kg, Reclinável, Com Almofadas, Iluminação LED, Rosa","R$ 700,00"
77,"Cadeira Gamer Kids, Em Couro Pu, Preta e Azul, Pelegrin - Pel-9353","R$ 289,00"
